name,avg_func_loc,cyclomatic,cyclomaticDensity,dependencies,hal_bugs,hal_difficulty,hal_distinct_operands,hal_distinct_operators,hal_effort,hal_length,hal_time,hal_total_operands,hal_total_operators,hal_vocabulary,hal_volume,line,logical_loc,params,physical_loc
release-manager/cli.js,5.5,3,5.0,8,0.848103649731,16.24,100,16,41319.6098149,371,2295.5338786,203,168,116,2544.31094919,3,60,3,139
__mocks__/InitializeCore.js,1.0,1,100.0,0,0.0,0.0,1,0,0.0,1,0.0,1,0,1,0.0,10,1,0,1
__mocks__/RCTEventEmitter.js,4.0,1,25.0,0,0.021575011225,3.375,8,6,218.446988653,17,12.1359438141,9,8,14,64.725033675,10,4,0,7
__mocks__/TextInputState.js,3.0,1,33.3333333333,0,0.0116230583386,2.4,5,4,83.6860200381,11,4.64922333545,6,5,9,34.8691750159,10,3,0,8
__mocks__/UIManager.js,41.0,1,2.43902439024,0,0.308809041426,6.27906976744,43,6,5817.1005478,165,323.172252655,90,75,49,926.427124279,10,41,0,62
__mocks__/View.js,6.0,1,16.6666666667,1,0.0354246779575,3.81818181818,11,6,405.773583877,26,22.542976882,14,12,17,106.274033873,10,6,0,10
__mocks__/deepFreezeAndThrowOnMutationInDev.js,0.0,1,33.3333333333,0,0.0116230583386,2.4,5,4,83.6860200381,11,4.64922333545,6,5,9,34.8691750159,10,3,0,7
__mocks__/flattenStyle.js,0.0,1,33.3333333333,0,0.0116230583386,2.4,5,4,83.6860200381,11,4.64922333545,6,5,9,34.8691750159,10,3,0,7
addons/ReactAddonsDOMDependencies.js,2.33333333333,4,26.6666666667,3,0.0787832919293,7.71428571429,14,8,1823.27047036,53,101.292803909,27,26,22,236.349875788,12,15,0,26
addons/ReactComponentWithPureRenderMixin.js,1.0,1,16.6666666667,1,0.0417786382506,5.66666666667,12,8,710.23685026,29,39.4576027922,17,12,20,125.335914752,12,6,2,37
addons/ReactFragment.js,16.0,7,25.9259259259,5,0.278445104336,15.5833333333,42,17,13017.3086277,142,723.183812652,77,65,59,835.335313009,12,27,1,77
addons/ReactWithAddons.js,1.0,2,7.69230769231,8,0.231989602154,8.39189189189,37,9,5840.49498397,126,324.471943554,69,57,46,695.968806463,12,26,0,41
addons/shallowCompare.js,1.0,2,40.0,1,0.0475412090438,6.33333333333,12,8,903.282971831,33,50.182387324,19,14,20,142.623627131,12,5,3,17
addons/update.js,6.14285714286,10,16.6666666667,1,0.858701307127,29.8134328358,67,17,76802.5012382,403,4266.80562434,235,168,84,2576.10392138,14,60,10,156
isomorphic/React.js,2.0,3,6.3829787234,11,0.422747938037,11.4423076923,52,10,14511.6359499,213,806.201997219,119,94,62,1268.24381411,12,47,2,81
test/ReactTestUtils.js,3.97435897436,42,19.7183098592,17,3.51513683182,46.4268292683,205,27,489589.972637,1342,27199.4429243,705,637,232,10545.4104955,12,213,53,547
test/getTestDocument.js,4.0,2,28.5714285714,0,0.0346666666667,4.5,10,6,468.0,26,26.0,15,11,16,104.0,12,7,1,12
test/reactComponentExpect.js,6.58823529412,26,18.3098591549,4,1.89209129315,50.2040816327,98,24,284972.117214,819,15831.7842897,410,409,122,5676.27387946,12,142,10,287
umd/ReactDOMServerUMDEntry.js,3.0,1,33.3333333333,1,0.0132877123795,2.33333333333,6,4,93.0139866568,12,5.16744370316,7,5,10,39.8631371386,12,3,0,5
umd/ReactDOMUMDEntry.js,11.0,3,27.2727272727,4,0.0758496510997,5.25,18,7,1194.63200482,49,66.3684447122,27,22,25,227.548953299,12,11,0,23
umd/ReactUMDEntry.js,9.0,2,22.2222222222,3,0.0708691373116,5.6875,16,7,1209.20465538,47,67.1780364099,26,21,23,212.607411935,12,9,0,22
umd/ReactWithAddonsUMDEntry.js,10.0,2,20.0,3,0.0773976031629,5.44444444444,18,7,1264.16085166,50,70.2311584256,28,22,25,232.192809489,12,10,0,23
js/app.js,3.81818181818,1,1.21951219512,0,1.55392624156,18.4761904762,105,10,86131.9116753,681,4785.10620418,388,293,115,4661.77872469,32,82,0,160
public/react-loader.js,7.0,7,35.0,0,0.2647248251,16.5405405405,37,17,13136.0751049,138,729.781950274,72,66,54,794.174475299,10,20,1,34
browserify/input.js,9.0,1,11.1111111111,3,0.0924783311272,3.96,25,6,1098.64257379,56,61.035698544,33,23,31,277.434993382,1,9,0,16
brunch/config.js,6.0,1,16.6666666667,0,0.0304588393765,2.6,10,4,237.578947136,24,13.1988303965,13,11,14,91.3765181294,1,6,0,10
brunch/input.js,9.0,1,11.1111111111,3,0.0924783311272,3.96,25,6,1098.64257379,56,61.035698544,33,23,31,277.434993382,1,9,0,16
rjs/config.js,8.0,1,12.5,0,0.0403379955523,2.125,16,4,257.154721646,28,14.2863734248,17,11,20,121.013986657,1,8,0,10
rjs/input.js,7.0,1,12.5,2,0.0941620235614,5.6,25,8,1581.92199583,56,87.8845553239,35,21,33,282.486070684,1,8,2,15
systemjs-builder/build.js,1.5,1,16.6666666667,1,0.0678534293409,4.41176470588,17,6,898.060094217,45,49.8922274565,25,20,23,203.560288023,1,6,1,12
systemjs-builder/config.js,4.0,1,25.0,0,0.0191198000038,2.25,8,4,129.058650026,16,7.16992500144,9,7,12,57.3594000115,1,4,0,6
webpack-alias/config.js,10.0,1,10.0,1,0.0665619387201,3.78947368421,19,6,756.70414545,43,42.0391191916,24,19,25,199.68581616,1,10,0,15
webpack-alias/input.js,9.0,1,11.1111111111,2,0.0957811286675,4.08,25,6,1172.36101489,58,65.1311674939,34,24,31,287.343386002,1,9,0,16
webpack/config.js,7.0,1,14.2857142857,1,0.0475412090438,3.85714285714,14,6,550.119704649,33,30.5622058138,18,15,20,142.623627131,1,7,0,11
webpack/input.js,9.0,1,11.1111111111,3,0.0924783311272,3.96,25,6,1098.64257379,56,61.035698544,33,23,31,277.434993382,1,9,0,16
transforms/react.js,3.6,3,11.5384615385,2,0.302529351572,10.2857142857,42,9,9335.19141993,160,518.621745552,96,64,51,907.588054715,10,26,13,43
__tests__/dev-expression-with-codes-test.js,2.0,1,9.09090909091,2,0.0858243309139,7.89473684211,19,10,2032.68152165,53,112.926751203,30,23,29,257.472992742,10,11,3,136
__tests__/evalToString-test.js,6.0,1,16.6666666667,2,0.027136557933,1.65,10,3,134.325961769,22,7.46255343158,11,11,13,81.4096737991,9,6,0,28
__tests__/invertObject-test.js,4.0,1,25.0,1,0.0143950217445,1.5,7,3,64.7775978503,13,3.59875543613,7,6,10,43.1850652335,9,4,0,46
commands/docs-prs.js,6.0,2,11.7647058824,2,0.177746843254,8.57142857143,35,12,4570.63311224,96,253.924061791,50,46,47,533.240529761,1,17,4,140
commands/init.js,1.0,1,12.5,4,0.0825856769172,4.29545454545,22,7,1064.22906391,51,59.1238368839,27,24,29,247.757030752,6,8,3,65
commands/npm-check-access.js,1.0,1,14.2857142857,3,0.0713233125325,4.2,20,7,898.673737909,45,49.9263187727,24,21,27,213.969937597,1,7,3,40
commands/npm-grant-access.js,1.0,1,16.6666666667,2,0.0603701304671,4.08333333333,18,7,739.534098222,39,41.085227679,21,18,25,181.110391401,1,6,3,36
commands/npm-publish.js,1.0,1,14.2857142857,3,0.0713233125325,4.2,20,7,898.673737909,45,49.9263187727,24,21,27,213.969937597,8,7,3,67
commands/q.js,1.0,1,33.3333333333,0,0.0253823661471,2.2,10,4,167.523616571,20,9.30686758725,11,9,14,76.1470984412,5,3,2,10
commands/stable-prs.js,3.33333333333,1,5.88235294118,3,0.257362616794,8.52631578947,38,9,6583.06482958,139,365.725823866,72,67,47,772.087850383,1,17,5,269
commands/start-release.js,1.0,1,16.6666666667,2,0.0611057163358,4.66666666667,18,8,855.480028702,39,47.5266682612,21,18,26,183.317149008,6,6,3,39
commands/version.js,7.0,1,3.44827586207,5,0.333175950078,8.20491803279,61,11,8201.04408265,162,455.613560147,91,71,72,999.527850234,1,29,7,162
__tests__/update-test.js,3.0,1,33.3333333333,1,0.01,1.8,5,3,54.0,10,3.0,6,4,8,30.0,12,3,0,174
transitions/ReactCSSTransitionGroupChild.js,4.5,14,15.5555555556,5,1.20993312868,27.8139534884,86,16,100959.071295,544,5608.83729418,299,245,102,3629.79938603,12,90,11,160
transitions/ReactTransitionChildMapping.js,11.3333333333,11,27.5,1,0.355139833563,30.6607142857,28,17,32666.522905,194,1814.80682806,101,93,45,1065.41950069,12,40,5,94
transitions/ReactTransitionEvents.js,2.42857142857,6,20.0,2,0.256843198389,14.4375,32,11,11124.5210302,142,618.028946124,84,58,43,770.529595168,12,30,12,62
__tests__/React-test.js,2.0,1,50.0,0,0.00266666666667,0.5,3,1,4.0,4,0.222222222222,3,1,4,8.0,12,2,0,21
children/ReactChildren.js,3.76923076923,9,11.3924050633,4,0.9416388688,35.4794520548,73,20,100226.493296,432,5568.13851642,259,173,93,2824.9166064,12,79,30,205
children/onlyChild.js,2.0,1,14.2857142857,2,0.0430892250149,4.5,12,6,581.704537701,31,32.3169187612,18,13,18,129.267675045,11,7,1,29
children/sliceChildren.js,4.0,2,25.0,1,0.0564861338361,6.28571428571,14,8,1065.16709519,38,59.175949733,22,16,22,169.458401508,12,8,3,23
react-dom/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
react-dom/server.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
react/index.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
art/ReactART.js,3.0,2,66.6666666667,3,0.0266514844544,3.33333333333,9,5,266.514844544,21,14.8063802524,12,9,14,79.9544533632,12,3,0,7
dom/ReactDOM.js,3.0,14,23.7288135593,15,1.01526409097,23.6111111111,117,25,71914.539777,426,3995.25220983,221,205,142,3045.79227291,14,59,1,136
dom/ReactDOMServer.js,12.0,1,8.33333333333,4,0.0855859666801,5.0,18,6,1283.7895002,56,71.3216389001,30,26,24,256.75790004,12,12,0,17
native/ReactNative.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,12,2,0,4
native/ReactNativeComponentEnvironment.js,0.0,1,11.1111111111,2,0.0603141594141,4.8125,16,7,870.785676541,40,48.3769820301,22,18,23,180.942478242,12,9,0,22
native/ReactNativeComponentTree.js,2.0,6,14.2857142857,1,0.332782286729,21.0416666667,36,15,21006.8818498,176,1167.04899165,101,75,51,998.346860187,12,42,12,81
native/ReactNativeDOMIDOperations.js,13.0,11,32.3529411765,2,0.36586336009,21.5769230769,39,17,23682.616732,189,1315.70092955,99,90,56,1097.59008027,11,34,4,75
native/ReactNativeEventPluginOrder.js,3.0,1,33.3333333333,0,0.0149908703474,2.28571428571,7,4,102.794539525,13,5.7108077514,8,5,11,44.9726110423,12,3,0,8
native/ReactNativeFeatureFlags.js,4.0,1,25.0,0,0.0167298250034,2.85714285714,7,5,143.398500029,14,7.96658333494,8,6,12,50.1894750101,12,4,0,7
native/ReactNativeGlobalResponderHandler.js,5.0,3,30.0,1,0.095,9.3,20,12,2650.5,57,147.25,31,26,32,285.0,11,10,3,19
native/ReactNativeInjection.js,7.0,1,4.7619047619,10,0.190674699655,6.66129032258,31,7,3810.41859472,109,211.689921929,59,50,38,572.024098965,12,21,0,49
native/ReactNativeReconcileTransaction.js,1.22222222222,2,5.55555555556,5,0.351048137632,11.0227272727,44,10,11608.5236421,183,644.917980119,97,86,54,1053.1444129,12,36,1,121
native/ReactNativeStackInjection.js,7.0,2,6.45161290323,13,0.363349524719,10.9811320755,53,12,11969.9673615,181,664.998186751,97,84,65,1090.04857416,12,31,1,78
native/ReactNativeTextComponent.js,5.0,3,8.10810810811,4,0.412011329991,14.2765957447,47,11,17646.3576015,211,980.353200084,122,89,58,1236.03398997,12,37,8,70
testing/ReactTestRenderer.js,3.0,2,66.6666666667,3,0.0266514844544,3.33333333333,9,5,266.514844544,21,14.8063802524,12,9,14,79.9544533632,12,3,0,7
testing/ReactTestRendererFeatureFlags.js,4.0,1,25.0,0,0.0167298250034,2.85714285714,7,5,143.398500029,14,7.96658333494,8,6,12,50.1894750101,12,4,0,7
types/ReactPropTypesSecret.js,3.0,1,33.3333333333,0,0.01,1.8,5,3,54.0,10,3.0,6,4,8,30.0,13,3,0,5
utils/ReactElementSymbol.js,3.0,2,66.6666666667,0,0.0340621903438,5.77777777778,9,8,590.411299292,25,32.8006277384,13,12,17,102.186571031,13,3,0,9
utils/canDefineProperty.js,0.0,2,22.2222222222,0,0.0445943161864,5.88461538462,13,9,787.26119729,30,43.7367331828,17,13,22,133.782948559,13,9,0,14
utils/traverseAllChildren.js,17.6666666667,24,35.8208955224,6,0.892333283781,28.2272727273,88,23,75564.4048947,394,4198.02249415,216,178,111,2676.99985134,12,67,9,188
shims/ReactAddonsDOMDependenciesUMDShim.js,2.0,3,23.0769230769,1,0.081424115209,7.2,15,8,1758.76088851,54,97.7089382508,27,27,23,244.272345627,12,13,0,25
shims/ReactComponentTreeHookUMDShim.js,3.0,1,33.3333333333,0,0.0155023311095,1.71428571429,7,3,79.7262742773,14,4.42923745985,8,6,10,46.5069933284,14,3,0,5
shims/ReactCurrentOwnerUMDShim.js,3.0,1,33.3333333333,0,0.0155023311095,1.71428571429,7,3,79.7262742773,14,4.42923745985,8,6,10,46.5069933284,14,3,0,5
shims/ReactUMDShim.js,2.0,1,50.0,0,0.00516992500144,1.0,4,2,15.5097750043,6,0.861654166907,4,2,6,15.5097750043,14,2,0,3
app/initialize.js,9.0,1,11.1111111111,3,0.0924783311272,3.96,25,6,1098.64257379,56,61.035698544,33,23,31,277.434993382,1,9,0,16
utils/git.js,2.0,6,13.0434782609,0,0.35364215689,28.9032258065,31,16,30664.1973458,191,1703.56651921,112,79,47,1060.92647067,1,46,25,93
utils/npm.js,2.0,1,5.0,1,0.207371317129,9.05405405405,37,10,5632.65334365,112,312.925185758,67,45,47,622.113951388,1,20,8,49
third_party/WebComponents.js,6.38387484958,929,17.0458715596,0,108.917985952,209.2776927,1959,50,68382314.3807,29780,3799017.46559,16399,13381,2009,326753.957855,12,5450,940,6368
element/ReactDOMFactories.js,140.0,2,1.42857142857,2,1.88956071234,5.26268115942,276,7,29832.4666812,696,1657.35926007,415,281,283,5668.68213701,12,140,0,159
element/ReactElement.js,11.9166666667,44,26.3473053892,4,2.11411581682,63.3663366337,101,25,401891.323594,909,22327.2957552,512,397,126,6342.34745046,12,167,23,375
class/ReactBaseClasses.js,2.28571428571,8,17.7777777778,5,0.583831657947,20.171641791,67,17,35330.5292111,274,1962.8071784,159,115,84,1751.49497384,12,45,11,142
class/ReactNoopUpdateQueue.js,1.4,4,25.0,1,0.165364400965,11.8,30,12,5853.89979417,92,325.216655232,59,33,42,496.093202896,12,16,14,89
lib/ReactDOM.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactDOMServer.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
lib/ReactInstanceMap.js,2.0,1,50.0,1,0.008,1.5,5,3,36.0,8,2.0,5,3,8,24.0,7,2,0,3
