name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,avg_cc,max_cc
org.apache.tools.ant.taskdefs.JavacOutputStream,4.0,2.0,0.0,7.0,11.0,0.0,0.0,7.0,1.0,0.222222222222,68.0,1.0,1.0,0.625,0.5,1.0,1.0,15.25,1.25,2.0
org.apache.tools.ant.taskdefs.Exec,10.0,3.0,4.0,26.0,43.0,21.0,6.0,21.0,7.0,0.793650793651,354.0,1.0,0.0,0.804347826087,0.6,0.0,0.0,33.7,1.2,2.0
org.apache.tools.ant.taskdefs.Replace,8.0,4.0,0.0,18.0,41.0,2.0,0.0,18.0,6.0,0.571428571429,252.0,1.0,0.0,0.917647058824,0.583333333333,2.0,2.0,30.0,1.125,2.0
org.apache.tools.ant.IntrospectionHelper$AttributeSetter,1.0,1.0,0.0,21.0,1.0,0.0,14.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
org.apache.tools.ant.taskdefs.KeySubst,8.0,3.0,0.0,21.0,40.0,10.0,0.0,21.0,8.0,0.714285714286,271.0,1.0,0.0,0.840909090909,0.40625,1.0,1.0,32.375,1.375,4.0
org.apache.tools.ant.ProjectHelper$TargetHandler,3.0,0.0,0.0,15.0,28.0,0.0,1.0,14.0,3.0,0.25,170.0,1.0,2.0,0.0,0.6,0.0,0.0,55.0,1.0,1.0
org.apache.tools.ant.Task,16.0,1.0,23.0,52.0,18.0,82.0,47.0,7.0,14.0,0.855555555556,96.0,1.0,3.0,0.0,0.260416666667,0.0,0.0,4.625,1.0,1.0
org.apache.tools.ant.taskdefs.Expand,4.0,3.0,0.0,19.0,38.0,2.0,0.0,19.0,4.0,0.666666666667,200.0,1.0,0.0,0.925,0.75,3.0,4.0,48.5,1.0,1.0
org.apache.tools.ant.taskdefs.FixCRLF$AddAsisRemove,2.0,0.0,0.0,5.0,3.0,1.0,1.0,4.0,2.0,2.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0
org.apache.tools.ant.taskdefs.Rmic,18.0,4.0,0.0,23.0,68.0,115.0,0.0,23.0,11.0,0.888888888889,819.0,0.888888888889,1.0,0.821052631579,0.277777777778,3.0,3.0,44.0,2.44444444444,10.0
